SMILES,Name,Label
COc1ccc(-c2cn(C(=O)Nc3cc(OC)c(OC)c(OC)c3)c(=O)n2-c2cc(OC)c(OC)c(OC)c2)cc1OC,CHEMBL270179,0.0
Cn1cc(CN(CCO)Cc2ccc(C(=O)Nc3ccccc3N)cc2)c2ccccc21,CHEMBL260738,0.0
CC(C)[C@@H]1CC=C[C@H]2[C@@H]3[C@](C)(O)C(=O)C=C[C@@]3(C)CC[C@]12CBr,CHEMBL459254,1.0
COc1ccc(-c2cn(C(=O)Nc3cc(OC)c(OC)c(OC)c3)c(=O)n2-c2cc(OC)c(OC)c(OC)c2)cc1O,CHEMBL270811,0.0
Cn1c2c(O)cccc2c(=O)c2c(O)cc3c(c21)C=CC(C)(C)O3,CHEMBL447169,0.0
C=C1C(=O)[C@@]23[C@@H](CC[C@@H]1[C@H]2O)[C@@]12CO[C@@]3(O)[C@@H](O)[C@@H]1[C@@](C)(CO)CC[C@@H]2O,CHEMBL481065,0.0
C=C1C(=O)[C@]23C[C@H]1C[C@H](O)[C@H]2[C@@]12CO[C@@]3(O)[C@@H](O)[C@@H]1C(C)(C)CC[C@@H]2OC(C)=O,CHEMBL498440,0.0
C=C/C=C\[C@H](C)[C@H](OC(N)=O)[C@@H](C)[C@H](O)[C@@H](C)C/C(C)=C\[C@H](C)[C@@H](OC(C)=O)[C@@H](C)/C=C\[C@@H](O)C[C@@H]1OC(=O)C(C)=C[C@H]1C,CHEMBL501318,1.0
CCn1c(=O)cc(C)c2ccc3oc(C)c(C)c3c21,CHEMBL523940,0.0
Cc1oc2ccc3c(C)cc(=O)n(CCCN(C)C)c3c2c1C,CHEMBL520410,0.0
CCC(C)C(=O)O[C@H]1C[C@@H](OC(C)=O)[C@@]2(C(=O)OC)CO[C@H]3[C@@H](O)[C@@](C)([C@]45O[C@@]4(C)C4CC5O[C@@H]5C[C@H](OC)C[C@]45O)[C@@H]4[C@@H](C(=O)OC)OC[C@@]14[C@@H]32,CHEMBL1774408,0.0
COC(=O)[C@@H]1[C@@]2(C)C(=O)C=C[C@@](C)(O)[C@@H]2[C@@H](OC(C)=O)[C@H]2O[C@@H]3C[C@@H](c4ccoc4)C(C)=C3[C@]21C,CHEMBL1774411,0.0
O=S(=O)(Oc1ccccc1)c1ccc2[nH]c3ccncc3c2c1,CHEMBL446588,0.0
O=S(=O)(Oc1cccc(Cl)c1)c1ccc2[nH]c3ccncc3c2c1,CHEMBL511396,0.0
COc1ccc(OS(=O)(=O)c2ccc3[nH]c4ccncc4c3c2)cc1,CHEMBL468740,0.0
CCn1c2ccncc2c2cc(NC(=O)c3ccc(OC)cc3)ccc21,CHEMBL445591,0.0
Cc1cc2c(-c3ccc(S(=O)(=O)N(C)CCO)cc3)ccnc2[nH]1,CHEMBL520308,1.0
Cc1cc2c(-c3ccc(S(=O)(=O)N(C)C4CCS(=O)(=O)CC4)cc3)ccnc2[nH]1,CHEMBL483166,1.0
Cc1cc2c(-c3ccc(N(C)S(C)(=O)=O)cc3)ccnc2[nH]1,CHEMBL484966,1.0
CC(C)=CCC/C=C(\C)Cc1c(OC/C=C(\C)CCC=C(C)C)c(C/C=C(\C)CCC=C(C)C)c(O)c2c(=O)cc(-c3ccccc3)oc12,CHEMBL1240937,0.0
COc1ccc(Cl)c(Nc2ncnc3cc(OCCCN4CCOCC4)cc(OC(C)C)c23)c1,CHEMBL381206,1.0
COCOc1cc(O)c2c(=O)cc(C3(O)C=CC(=O)C=C3)oc2c1,CHEMBL397277,0.0
Cn1cc(C2=C(c3nn(CCCO)c4ncccc34)C(=O)NC2=O)c2ccccc21,CHEMBL560585,0.0
Cn1cc(C2=C(c3nn(CCCN4CCCCC4)c4ncccc34)C(=O)N(c3ccc(Cl)cc3)C2=O)c2ccccc21,CHEMBL555913,0.0
COc1ccc(COc2ccc(Cc3cnc(N)nc3N)cc2OC)cc1,CHEMBL261849,0.0
CN(C)CCCn1nc(C2=C(c3cn(C)c4ccccc34)C(=O)N(c3ccccc3)C2=O)c2cccnc21,CHEMBL554717,0.0
CCOCc1cc2c3n1CCC[C@]3(CC)CCC(=O)Nc1ccccc1-2,CHEMBL564900,1.0
